"id","name","sku","url","price","wholesaleprice","firstsaleprice","secondsaleprice","specialpriceto","specialpricefrom","image","category","quantity",
"1266","Italian Jewellery Earring","Ear-4349-16-IJ","","22500","","","","0000-00-00","1970-01-01","image_1439194424_EAR-4349-16-IJ-(1).jpg,image_1439194440_EAR-4349-16-IJ-(2).jpg","Earring,Earring","10",
"1265","Italian Jewellery Earring","Ear-11710-24-AD IJ","","35000","","","","0000-00-00","1970-01-01","image_1439194457_EAR-11710-24-AD-(1).jpg,image_1439194471_EAR-11710-24-AD-(2).jpg","Earring,Earring","10",
"1264","Italian Jewellery Earring","Ear-11629-16-IJ","","12000","","","","0000-00-00","1970-01-01","image_1439194484_EAR-11629-16-IJ-(1).jpg,image_1439194501_EAR-11629-16-IJ-(2).jpg","Earring,Earring","10",
"1263","Italian Jewellery Earring","Ear-5167-78-AD IJ","","17695","","","","0000-00-00","1970-01-01","image_1439194535_EAR-5167-78-AD-(2).jpg,image_1439194521_EAR-5167-78-AD-(1).jpg","Earring,Earring","10",
"1262","Italian Jewellery Earring","Ear-13193-52-IJ","","15000","","","","0000-00-00","1970-01-01","image_1439192362_EAR-13193-52-IJ-(1).jpg,image_1439192379_EAR-13193-52-IJ-(2).jpg","Earring,Earring","10",
"1261","Italian Jewellery Earring","Ear-10578-113-AD IJ","","28500","","","","0000-00-00","1970-01-01","image_1439192406_EAR-10578-113-AD-(1).jpg,image_1439192423_EAR-10578-113-AD-(2).jpg","Earring,Earring","10",
"1260","Italian Jewellery Earring","Ear-7605-113-AD IJ","","13350","","","","0000-00-00","1970-01-01","image_1439192440_EAR-7605-133-AD-(1).jpg,image_1439192455_EAR-7605-133-AD-(2).jpg","Earring,Earring","10",
"1259","Italian Jewellery Earring","Ear-9926-70-AD IJ","","26500","","","","0000-00-00","1970-01-01","image_1439192476_EAR-9926-70-AD-(1).jpg,image_1439192496_EAR-9926-70-AD-(2).jpg","Earring,Earring","10",
"1258","Italian Jewellery Earring","Ear-5188-78-AD IJ","","12750","","","","0000-00-00","1970-01-01","image_1439192511_EAR-5188-78-AD-(1).jpg,image_1439192537_EAR-5188-78-AD-(2).jpg","Earring,Earring","10",
"1257","Italian Jewellery Earring","Ear-11896-113-IJ","","8500","","","","0000-00-00","0000-00-00","image_1439192316_EAR-11896-113-IJ-(1).jpg,image_1439192337_EAR-11896-113-IJ-(2).jpg","Earring,Earring","10",
